periodname,city,age,career,surveyed,tested positive,tested negative,treatment eligible,treatment
20-Oct,Philadelphia,30-34yrs,astronaut,26,15,8,6,5
21-Jan,Tokyo,30-34yrs,astronaut,25,3,6,5,5
20-Nov,Philadelphia,25-29yrs,astronaut,24,13,9,5,5
21-Mar,Chicago,25-29yrs,astronaut,24,4,9,6,5
21-Jan,Philadelphia,30-34yrs,astronaut,17,9,5,5,5
21-Jan,Chicago,20-24yrs,surgeon,16,4,5,8,5
21-Jun,Tokyo,25-29yrs,surgeon,14,8,6,5,5
21-Apr,Tokyo,20-24yrs,surgeon,13,6,5,6,5
21-Mar,Chicago,20-24yrs,surgeon,12,6,3,6,5
20-Dec,Boston,20-24yrs,surgeon,12,6,9,5,5
20-Dec,Chicago,25-29yrs,surgeon,11,5,,5,5
21-Jan,Boston,25-29yrs,surgeon,8,5,3,5,5
21-Jan,Philadelphia,20-24yrs,farmer,6,6,6,6,5
21-Jan,Boston,35-39yrs,astronaut,14,7,5,5,5
21-Jul,Philadelphia,15-19yrs,surgeon,14,8,5,5,5
21-Jan,Boston,20-24yrs,astronaut,15,6,4,5,4
20-Dec,London,20-24yrs,astronaut,25,5,1,6,5
21-Apr,London,20-24yrs,surgeon,23,8,2,7,5
20-Oct,Tokyo,30-34yrs,astronaut,30,10,15,6,5
21-Feb,Tokyo,30-34yrs,astronaut,69,6,5,4,3
20-Nov,Boston,25-29yrs,surgeon,30,3,29,9,6
21-Mar,Tokyo,25-29yrs,surgeon,29,7,7,7,5
21-Jan,Tokyo,20-24yrs,astronaut,28,6,7,5,4
21-Mar,Tokyo,15-19yrs,astronaut,24,8,6,6,4
20-Dec,Boston,30-34yrs,surgeon,18,8,4,4,4
21-Apr,Tokyo,30-34yrs,astronaut,14,7,3,7,4
20-Nov,Philadelphia,30-34yrs,astronaut,13,7,10,4,4
21-May,Boston,25-29yrs,surgeon,10,5,8,5,4
21-Jan,Boston,30-34yrs,surgeon,10,7,6,6,6
21-May,Tokyo,25-29yrs,surgeon,10,7,6,6,6
20-Nov,London,20-24yrs,astronaut,9,2,3,7,6
21-Jan,Boston,20-24yrs,surgeon,8,,8,6,6
21-Jan,Tokyo,25-29yrs,astronaut,33,5,7,7,7
21-Feb,Boston,20-24yrs,surgeon,25,8,13,7,7
20-Dec,Boston,25-29yrs,surgeon,22,10,6,6,5
20-Dec,Boston,20-24yrs,astronaut,16,8,8,6,5
21-Jul,Tokyo,20-24yrs,astronaut,14,7,6,7,7
21-Aug,Tokyo,25-29yrs,astronaut,13,8,7,7,7
20-Nov,Philadelphia,20-24yrs,astronaut,12,8,12,10,7
21-Feb,Philadelphia,20-24yrs,surgeon,10,8,10,5,5
20-Nov,Tokyo,25-29yrs,surgeon,7,,11,7,7
20-Nov,Tokyo,20-24yrs,surgeon,5,,6,3,3
21-Mar,Tokyo,20-24yrs,astronaut,65,5,17,10,8
20-Oct,Philadelphia,25-29yrs,astronaut,25,8,19,5,4
21-Jan,Philadelphia,25-29yrs,astronaut,25,7,18,10,8
21-Mar,Tokyo,20-24yrs,surgeon,23,12,11,9,5
21-Jan,Philadelphia,20-24yrs,astronaut,14,10,10,9,5
20-Dec,Boston,15-19yrs,surgeon,5,,5,8,4
21-Mar,Tokyo,25-29yrs,astronaut,60,5,9,8,4
21-Mar,Tokyo,30-34yrs,astronaut,59,4,10,7,4
21-Feb,Tokyo,20-24yrs,astronaut,52,6,12,9,9
20-Dec,Tokyo,25-29yrs,astronaut,40,16,10,7,6
21-Jun,Tokyo,25-29yrs,astronaut,20,6,11,10,9
21-Mar,Boston,25-29yrs,astronaut,12,11,1,10,9
20-Oct,Tokyo,15-19yrs,astronaut,10,10,0,10,9
21-Apr,Tokyo,25-29yrs,astronaut,43,10,18,11,6
21-May,Tokyo,20-24yrs,astronaut,34,13,9,9,8
21-Apr,Boston,25-29yrs,surgeon,18,12,9,9,5
20-Dec,London,15-19yrs,astronaut,20,7,13,7,5
21-Apr,Tokyo,20-24yrs,astronaut,40,3,13,8,3
20-Nov,London,15-19yrs,astronaut,40,5,1,5,4
20-Oct,Philadelphia,20-24yrs,astronaut,31,6,21,15,10
20-Oct,Chicago,30-34yrs,astronaut,25,1,7,,
21-Jan,Tokyo,50+yrs,surgeon,25,,,,
21-Feb,Tokyo,40-44yrs,astronaut,23,,1,,
21-Feb,Baltimore,20-24yrs,astronaut,21,4,4,,
20-Nov,Chicago,15-19yrs,surgeon,20,,,,
21-Jun,Boston,20-24yrs,astronaut,18,2,4,,
20-Nov,Boston,35-39yrs,astronaut,18,1,17,,
20-Dec,Baltimore,15-19yrs,astronaut,17,,4,,
20-Dec,Philadelphia,25-29yrs,astronaut,16,6,7,,
20-Nov,Baltimore,25-29yrs,astronaut,16,2,2,1,
21-Feb,Chicago,25-29yrs,astronaut,15,7,3,2,
21-Feb,Boston,30-34yrs,surgeon,15,3,7,2,
21-Feb,Baltimore,15-19yrs,astronaut,15,,2,,
21-Jan,Tokyo,15-19yrs,astronaut,15,,,,
20-Oct,Chicago,15-19yrs,surgeon,14,,1,,
21-Sep,Baltimore,20-24yrs,astronaut,14,,,,
21-Jul,Baltimore,20-24yrs,astronaut,14,,1,,
21-Jun,Tokyo,20-24yrs,astronaut,14,,5,2,
20-Dec,Baltimore,20-24yrs,astronaut,14,,3,1,
20-Dec,Philadelphia,35-39yrs,astronaut,13,5,3,,
21-Feb,Chicago,30-34yrs,astronaut,13,2,,,
21-Aug,Baltimore,20-24yrs,astronaut,13,,,,
20-Oct,Baltimore,15-19yrs,astronaut,12,,,,
20-Oct,Chicago,15-19yrs,astronaut,12,,2,,
21-Mar,Chicago,25-29yrs,epidemiologist,12,2,4,1,
20-Oct,Baltimore,25-29yrs,astronaut,12,,,,
21-Mar,Baltimore,30-34yrs,astronaut,12,,2,,
21-Jun,Boston,25-29yrs,astronaut,11,3,4,1,
21-Jun,Boston,30-34yrs,astronaut,11,2,2,1,
20-Nov,Tokyo,45-49yrs,astronaut,11,1,,,
21-Jun,Baltimore,15-19yrs,astronaut,11,2,1,1,
20-Dec,Chicago,30-34yrs,astronaut,11,3,1,2,
21-Aug,Boston,20-24yrs,astronaut,10,1,,,
21-Aug,Chicago,20-24yrs,surgeon,10,3,3,2,
21-Sep,Baltimore,15-19yrs,astronaut,10,1,1,,
21-Aug,Philadelphia,25-29yrs,surgeon,10,5,9,4,
21-Jan,Chicago,25-29yrs,astronaut,10,5,1,4,
21-Aug,Chicago,30-34yrs,astronaut,10,3,2,1,
21-Feb,Philadelphia,30-34yrs,astronaut,9,4,3,1,
21-Jun,Boston,20-24yrs,surgeon,9,3,3,3,
21-Aug,Chicago,25-29yrs,surgeon,9,3,4,2,
21-Jan,Tokyo,40-44yrs,astronaut,9,3,,,
21-Apr,Baltimore,15-19yrs,astronaut,9,2,2,2,
21-Feb,Tokyo,15-19yrs,epidemiologist,9,,,,
21-Aug,Chicago,25-29yrs,astronaut,9,2,3,2,
21-Jun,Boston,25-29yrs,surgeon,9,2,6,2,
21-Mar,Baltimore,25-29yrs,astronaut,9,,3,,
20-Nov,Tokyo,50+yrs,astronaut,9,,,,
21-Feb,Philadelphia,25-29yrs,astronaut,8,5,2,,
21-Jun,Boston,30-34yrs,surgeon,8,1,7,2,
21-Mar,Tokyo,40-44yrs,surgeon,8,1,,,
21-Feb,Tokyo,15-19yrs,surgeon,8,,,,
20-Dec,Chicago,15-19yrs,epidemiologist,8,,4,4,
20-Nov,Boston,15-19yrs,astronaut,8,,8,,
21-Mar,Chicago,20-24yrs,epidemiologist,8,,1,1,
21-Feb,Tokyo,20-24yrs,epidemiologist,8,,,,
21-Jan,Chicago,20-24yrs,epidemiologist,8,,,,
20-Oct,Chicago,20-24yrs,epidemiologist,8,,4,2,
21-Jul,Baltimore,25-29yrs,astronaut,8,,,,
21-Feb,Baltimore,25-29yrs,astronaut,8,,3,,
21-Feb,Tokyo,25-29yrs,epidemiologist,8,,,,
21-Jan,London,25-29yrs,astronaut,8,,1,1,
20-Oct,Philadelphia,30-34yrs,farmer,8,,2,,
21-Mar,Chicago,35-39yrs,surgeon,8,,1,,
21-Feb,Boston,40-44yrs,astronaut,8,,,2,
20-Nov,Boston,40-44yrs,astronaut,8,,8,,
21-Feb,Tokyo,45-49yrs,surgeon,8,,,,
20-Dec,Chicago,40-44yrs,surgeon,7,4,3,1,
20-Dec,Tokyo,50+yrs,astronaut,7,2,,3,
21-Jan,Chicago,15-19yrs,astronaut,7,,,,
21-Apr,New York,20-24yrs,surgeon,7,,3,3,
21-Sep,Philadelphia,25-29yrs,surgeon,7,,5,7,
21-Feb,New York,25-29yrs,astronaut,7,,4,3,
20-Nov,Philadelphia,25-29yrs,farmer,7,,,,
21-Jan,Chicago,30-34yrs,epidemiologist,7,,,,
20-Dec,Chicago,30-34yrs,epidemiologist,7,,1,1,
21-Aug,Chicago,35-39yrs,astronaut,7,,3,1,
21-Mar,Baltimore,35-39yrs,astronaut,7,,,,
20-Dec,Chicago,35-39yrs,surgeon,7,,3,1,
20-Dec,New York,40-44yrs,astronaut,7,,4,4,
21-Feb,Tokyo,45-49yrs,astronaut,7,,,,
21-Apr,Baltimore,20-24yrs,astronaut,6,3,3,3,
20-Oct,Philadelphia,25-29yrs,farmer,6,2,1,1,
20-Dec,Chicago,35-39yrs,astronaut,6,2,1,,
20-Nov,Baltimore,15-19yrs,astronaut,6,1,1,,
21-Mar,Boston,30-34yrs,surgeon,6,1,3,3,
21-Feb,Chicago,20-24yrs,surgeon,6,,1,,
21-Sep,Tokyo,25-29yrs,astronaut,6,,,,
21-Aug,Baltimore,25-29yrs,astronaut,6,,,,
21-Aug,Boston,25-29yrs,surgeon,6,,,,
21-Mar,New York,25-29yrs,surgeon,6,,6,,
20-Nov,Boston,25-29yrs,epidemiologist,6,,6,,
21-Feb,Philadelphia,30-34yrs,farmer,6,,1,,
20-Dec,New York,30-34yrs,astronaut,6,,4,4,
20-Oct,Baltimore,30-34yrs,astronaut,6,,,,
20-Dec,London,35-39yrs,astronaut,6,,5,,
20-Oct,Chicago,35-39yrs,astronaut,6,,4,1,
20-Oct,Philadelphia,35-39yrs,farmer,6,,1,,
21-Aug,Chicago,40-44yrs,surgeon,6,,4,2,
20-Nov,Philadelphia,35-39yrs,astronaut,5,3,1,,
20-Oct,Philadelphia,15-19yrs,astronaut,5,2,7,,
21-Aug,New York,40-44yrs,surgeon,5,2,3,,
21-Feb,New York,20-24yrs,astronaut,5,1,,2,
20-Dec,Chicago,15-19yrs,astronaut,5,,,,
20-Dec,Washington D.C.,15-19yrs,astronaut,5,,1,,
21-Feb,Philadelphia,20-24yrs,farmer,5,,2,,
20-Dec,Chicago,20-24yrs,epidemiologist,5,,,,
20-Dec,Philadelphia,20-24yrs,astronaut,5,,4,,
21-Sep,Baltimore,25-29yrs,astronaut,5,,,,
21-Sep,Boston,25-29yrs,astronaut,5,,4,2,
21-Jun,Chicago,25-29yrs,epidemiologist,5,,2,,
21-Feb,Chicago,25-29yrs,epidemiologist,5,,,1,
20-Nov,Tokyo,25-29yrs,epidemiologist,5,,2,2,
21-Sep,Baltimore,30-34yrs,astronaut,5,,,,
21-Aug,Chicago,30-34yrs,surgeon,5,,2,2,
21-Jun,Chicago,30-34yrs,surgeon,5,,2,,
21-Mar,Philadelphia,30-34yrs,astronaut,5,,1,,
21-Feb,Chicago,30-34yrs,epidemiologist,5,,,1,
21-Jan,Chicago,30-34yrs,surgeon,5,,1,6,
21-Jan,Chicago,30-34yrs,astronaut,5,,2,1,
20-Dec,London,30-34yrs,astronaut,5,,4,,
21-Jan,Chicago,35-39yrs,surgeon,5,,1,1,
20-Nov,Chicago,35-39yrs,astronaut,5,,,,
21-Aug,Chicago,40-44yrs,astronaut,5,,1,1,
21-Apr,Tokyo,40-44yrs,surgeon,5,,,,
21-Mar,Chicago,40-44yrs,surgeon,5,,2,,
21-Feb,Chicago,40-44yrs,astronaut,5,,1,,
21-Jun,Chicago,45-49yrs,astronaut,5,,,,
21-Jan,Tokyo,45-49yrs,astronaut,5,,,,
21-Mar,Tokyo,50+yrs,astronaut,5,,3,,
21-Apr,New York,40-44yrs,astronaut,4,2,1,1,
21-Aug,New York,15-19yrs,farmer,4,1,3,,
20-Nov,Chicago,15-19yrs,astronaut,4,1,2,,
21-Apr,Philadelphia,20-24yrs,farmer,4,1,2,1,
21-Jan,Washington D.C.,25-29yrs,astronaut,4,1,,2,
21-Jun,Chicago,30-34yrs,astronaut,4,1,2,,
20-Dec,Baltimore,35-39yrs,astronaut,4,1,1,,
20-Oct,Chicago,45-49yrs,surgeon,4,1,,,
21-Jul,Baltimore,15-19yrs,astronaut,4,,,,
20-Dec,Chicago,15-19yrs,surgeon,4,,,1,
20-Oct,Chicago,15-19yrs,epidemiologist,4,,3,,
21-Mar,Baltimore,20-24yrs,astronaut,4,,,,
21-Mar,Philadelphia,20-24yrs,astronaut,4,,,,
21-Feb,Chicago,20-24yrs,epidemiologist,4,,4,,
20-Nov,Chicago,20-24yrs,epidemiologist,4,,5,1,
21-Apr,New York,25-29yrs,astronaut,4,,2,,
21-Mar,Tokyo,25-29yrs,epidemiologist,4,,,,
20-Dec,New York,25-29yrs,farmer,4,,2,2,
21-Sep,Boston,30-34yrs,surgeon,4,,4,1,
21-Sep,Chicago,30-34yrs,surgeon,4,,1,,
21-Jul,Boston,30-34yrs,astronaut,4,,,,
21-Jul,New York,30-34yrs,astronaut,4,,2,1,
20-Nov,London,30-34yrs,epidemiologist,4,,4,3,
21-Sep,Chicago,35-39yrs,astronaut,4,,3,,
21-Aug,Tokyo,35-39yrs,surgeon,4,,,,
21-Aug,Tokyo,35-39yrs,astronaut,4,,1,1,
21-Jun,Boston,35-39yrs,surgeon,4,,3,2,
21-Jun,Chicago,35-39yrs,surgeon,4,,2,,
21-Feb,Boston,35-39yrs,epidemiologist,4,,,,
20-Dec,Chicago,35-39yrs,epidemiologist,4,,,1,
21-Sep,Chicago,40-44yrs,surgeon,4,,2,1,
21-Sep,Chicago,40-44yrs,astronaut,4,,,,
21-Jul,Chicago,40-44yrs,astronaut,4,,1,,
21-Jul,New York,40-44yrs,astronaut,4,,1,,
21-Jun,Chicago,40-44yrs,astronaut,4,,,,
21-Mar,Tokyo,40-44yrs,farmer,4,,,,
21-Apr,Boston,35-39yrs,astronaut,3,3,,,
21-Aug,New York,20-24yrs,farmer,3,2,2,,
21-Mar,Philadelphia,25-29yrs,astronaut,3,2,5,,
21-Feb,Philadelphia,30-34yrs,surgeon,3,2,3,,
21-May,Tokyo,40-44yrs,astronaut,3,2,,,
21-Mar,Philadelphia,25-29yrs,surgeon,3,1,3,3,
21-Aug,New York,30-34yrs,surgeon,3,1,2,,
21-Mar,Chicago,30-34yrs,epidemiologist,3,1,1,,
21-Jun,Tokyo,15-19yrs,astronaut,3,,,,
21-Mar,Boston,15-19yrs,surgeon,3,,,,
21-Mar,Chicago,15-19yrs,epidemiologist,3,,2,1,
21-Feb,Boston,15-19yrs,astronaut,3,,1,,
21-Feb,Chicago,15-19yrs,epidemiologist,3,,3,,
21-Jan,Chicago,15-19yrs,surgeon,3,,,1,
21-Jan,Tokyo,15-19yrs,surgeon,3,,,,
20-Dec,New York,15-19yrs,astronaut,3,,2,2,
20-Nov,New York,15-19yrs,astronaut,3,,1,1,
21-Aug,Chicago,20-24yrs,epidemiologist,3,,3,2,
21-Jul,Boston,20-24yrs,surgeon,3,,1,1,
21-Jul,Chicago,20-24yrs,surgeon,3,,,,
21-Jul,New York,20-24yrs,astronaut,3,,2,1,
21-Jun,Chicago,20-24yrs,epidemiologist,3,,2,1,
20-Dec,Chicago,20-24yrs,farmer,3,,,,
20-Oct,Philadelphia,20-24yrs,farmer,3,,2,,
21-Aug,Tokyo,25-29yrs,surgeon,3,,,,
21-Jul,Chicago,25-29yrs,surgeon,3,,,,
21-Jul,Chicago,25-29yrs,astronaut,3,,,,
21-Jun,Baltimore,25-29yrs,astronaut,3,,1,1,
21-Jun,Chicago,25-29yrs,surgeon,3,,1,,
21-Mar,Philadelphia,25-29yrs,farmer,3,,1,1,
21-Jan,Baltimore,25-29yrs,astronaut,3,,3,,
20-Nov,Tokyo,25-29yrs,farmer,3,,,,
21-Sep,Boston,30-34yrs,astronaut,3,,,,
21-Aug,Baltimore,30-34yrs,astronaut,3,,,,
21-Jul,Baltimore,30-34yrs,astronaut,3,,,,
21-Jun,Chicago,30-34yrs,epidemiologist,3,,,,
21-Mar,Tokyo,30-34yrs,farmer,3,,,,
21-Mar,Tokyo,30-34yrs,epidemiologist,3,,1,,
21-Feb,Baltimore,30-34yrs,astronaut,3,,2,,
21-Feb,Boston,30-34yrs,epidemiologist,3,,,,
21-Feb,Tokyo,30-34yrs,epidemiologist,3,,,,
21-Sep,Chicago,35-39yrs,surgeon,3,,1,,
21-Aug,Chicago,35-39yrs,surgeon,3,,5,3,
21-Jul,New York,35-39yrs,astronaut,3,,,,
21-Jun,Chicago,35-39yrs,astronaut,3,,2,,
21-May,New York,35-39yrs,surgeon,3,,,,
21-Feb,Baltimore,35-39yrs,astronaut,3,,1,,
21-Feb,New York,35-39yrs,astronaut,3,,2,1,
21-Feb,Tokyo,35-39yrs,epidemiologist,3,,,,
21-Jan,Boston,35-39yrs,surgeon,3,,,,
20-Dec,Washington D.C.,35-39yrs,astronaut,3,,1,3,
20-Nov,Chicago,35-39yrs,surgeon,3,,2,,
21-Jul,Chicago,40-44yrs,surgeon,3,,2,1,
21-Jul,Tokyo,40-44yrs,surgeon,3,,,,
21-Jun,Boston,40-44yrs,surgeon,3,,2,1,
21-Jan,Philadelphia,40-44yrs,farmer,3,,,,
20-Nov,Philadelphia,40-44yrs,farmer,3,,,,
20-Nov,Tokyo,40-44yrs,surgeon,3,,,,
20-Nov,Washington D.C.,40-44yrs,astronaut,3,,,,
21-Mar,Tokyo,45-49yrs,surgeon,3,,,,
20-Nov,Boston,45-49yrs,astronaut,3,,3,,
20-Nov,London,45-49yrs,astronaut,3,,,,
20-Nov,Washington D.C.,45-49yrs,astronaut,3,,,,
21-Jan,Tokyo,50+yrs,astronaut,3,,,,
21-Apr,Philadelphia,35-39yrs,astronaut,2,3,,,
21-Aug,New York,15-19yrs,surgeon,2,2,,,
21-Aug,Boston,35-39yrs,surgeon,2,2,1,1,
21-Mar,Chicago,40-44yrs,astronaut,2,2,1,,
21-Jul,New York,15-19yrs,surgeon,2,1,,,
21-Mar,New York,15-19yrs,astronaut,2,1,2,,
21-Feb,New York,15-19yrs,astronaut,2,1,2,,
21-Sep,New York,20-24yrs,surgeon,2,1,1,,
21-May,Boston,20-24yrs,surgeon,2,1,,,
21-Mar,Philadelphia,20-24yrs,farmer,2,1,2,,
21-Apr,Philadelphia,35-39yrs,surgeon,2,1,1,,
20-Nov,Baltimore,35-39yrs,astronaut,2,1,,,
21-Apr,Boston,40-44yrs,astronaut,2,1,,,
21-Mar,New York,40-44yrs,surgeon,2,1,1,,
21-Sep,Chicago,15-19yrs,astronaut,2,,,,
21-Sep,New York,15-19yrs,surgeon,2,,3,1,
21-Aug,Chicago,15-19yrs,epidemiologist,2,,,,
21-Jul,New York,15-19yrs,astronaut,2,,2,2,
21-Jul,New York,15-19yrs,farmer,2,,2,2,
21-Jun,Philadelphia,15-19yrs,surgeon,2,,2,2,
21-Jun,Tokyo,15-19yrs,surgeon,2,,,,
21-Apr,Tokyo,15-19yrs,surgeon,2,,,,
21-Mar,Chicago,15-19yrs,astronaut,2,,1,,
21-Mar,Tokyo,15-19yrs,epidemiologist,2,,,,
21-Feb,Chicago,15-19yrs,surgeon,2,,,,
21-Feb,Tokyo,15-19yrs,farmer,2,,,,
20-Nov,Boston,15-19yrs,surgeon,2,,2,,
20-Nov,Chicago,15-19yrs,epidemiologist,2,,2,,
21-Sep,Chicago,20-24yrs,surgeon,2,,2,,
21-Sep,New York,20-24yrs,astronaut,2,,,,
21-Aug,New York,20-24yrs,astronaut,2,,1,,
21-Jul,Chicago,20-24yrs,epidemiologist,2,,,,
21-Jul,New York,20-24yrs,farmer,2,,2,1,
21-Jun,Chicago,20-24yrs,surgeon,2,,,1,
21-Jun,Chicago,20-24yrs,astronaut,2,,1,,
21-May,New York,20-24yrs,astronaut,2,,,,
21-Mar,New York,20-24yrs,surgeon,2,,2,,
21-Sep,Boston,25-29yrs,surgeon,2,,2,,
21-Sep,New York,25-29yrs,astronaut,2,,,,
21-Jul,Chicago,25-29yrs,epidemiologist,2,,,,
21-Jul,New York,25-29yrs,astronaut,2,,1,1,
21-May,New York,25-29yrs,surgeon,2,,,,
21-Sep,Chicago,30-34yrs,astronaut,2,,,,
21-Sep,Chicago,30-34yrs,epidemiologist,2,,1,,
21-Sep,Philadelphia,30-34yrs,surgeon,2,,2,1,
21-Aug,Boston,30-34yrs,surgeon,2,,,,
21-Aug,New York,30-34yrs,astronaut,2,,2,,
21-Aug,Philadelphia,30-34yrs,surgeon,2,,,,
21-Jul,Chicago,30-34yrs,astronaut,2,,1,1,
21-May,New York,30-34yrs,surgeon,2,,,,
21-May,New York,30-34yrs,astronaut,2,,,,
21-Mar,New York,30-34yrs,surgeon,2,,2,,
21-Mar,Philadelphia,30-34yrs,farmer,2,,,,
20-Dec,London,30-34yrs,surgeon,2,,2,,
20-Dec,London,30-34yrs,epidemiologist,2,,2,,
20-Nov,Boston,30-34yrs,epidemiologist,2,,2,,
20-Nov,Philadelphia,30-34yrs,farmer,2,,,,
20-Nov,Tokyo,30-34yrs,epidemiologist,2,,2,3,
20-Oct,Chicago,30-34yrs,epidemiologist,2,,,1,
21-Sep,New York,35-39yrs,astronaut,2,,,,
21-Aug,New York,35-39yrs,surgeon,2,,,,
21-Jul,Chicago,35-39yrs,surgeon,2,,1,,
21-Jul,Chicago,35-39yrs,astronaut,2,,1,1,
21-Jul,Chicago,35-39yrs,epidemiologist,2,,,,
21-Jun,Boston,35-39yrs,astronaut,2,,,,
21-Feb,Chicago,35-39yrs,epidemiologist,2,,,1,
21-Feb,Philadelphia,35-39yrs,farmer,2,,2,,
21-Jan,Baltimore,35-39yrs,astronaut,2,,1,,
21-Jan,Tokyo,35-39yrs,surgeon,2,,1,,
21-Jan,Washington D.C.,35-39yrs,astronaut,2,,1,1,
20-Nov,Washington D.C.,35-39yrs,astronaut,2,,,2,
21-Jun,Chicago,40-44yrs,surgeon,2,,,,
21-Feb,Chicago,40-44yrs,epidemiologist,2,,,,
20-Dec,Philadelphia,40-44yrs,astronaut,2,,4,,
20-Oct,Baltimore,40-44yrs,astronaut,2,,,,
20-Oct,Chicago,40-44yrs,astronaut,2,,,,
21-Jun,Chicago,45-49yrs,surgeon,2,,,,
21-Mar,Chicago,45-49yrs,epidemiologist,2,,,,
21-Feb,Chicago,45-49yrs,astronaut,2,,1,,
20-Dec,Philadelphia,45-49yrs,astronaut,2,,1,,
21-Feb,Tokyo,50+yrs,astronaut,2,,1,,
20-Dec,Chicago,50+yrs,astronaut,2,,,,
20-Dec,Chicago,50+yrs,epidemiologist,2,,1,,
20-Oct,New York,50+yrs,astronaut,2,,,,
21-Apr,Philadelphia,25-29yrs,astronaut,1,2,4,,
21-Jan,New York,20-24yrs,astronaut,1,1,,,
21-Jan,New York,25-29yrs,astronaut,1,1,,,
21-Apr,Philadelphia,30-34yrs,astronaut,1,1,3,,
21-Sep,Philadelphia,35-39yrs,surgeon,1,1,1,1,
21-Apr,Philadelphia,35-39yrs,farmer,1,1,2,,
21-Feb,New York,40-44yrs,astronaut,1,1,,2,
20-Oct,Philadelphia,40-44yrs,farmer,1,1,,,
21-May,Tokyo,45-49yrs,astronaut,1,1,,,
21-Apr,Boston,45-49yrs,astronaut,1,1,,,
21-Feb,New York,45-49yrs,astronaut,1,1,,,
21-Feb,Philadelphia,45-49yrs,astronaut,1,1,,,
21-Mar,New York,50+yrs,surgeon,1,1,,,
21-Mar,New York,50+yrs,astronaut,1,1,,,
21-Sep,Boston,15-19yrs,surgeon,1,,1,,
21-Sep,Boston,15-19yrs,astronaut,1,,1,,
21-Sep,Chicago,15-19yrs,surgeon,1,,,,
21-Aug,Boston,15-19yrs,surgeon,1,,,,
21-Aug,Boston,15-19yrs,astronaut,1,,,,
21-Jul,Boston,15-19yrs,surgeon,1,,,,
21-Jun,Boston,15-19yrs,surgeon,1,,,,
21-Jun,Chicago,15-19yrs,epidemiologist,1,,,,
21-Apr,Boston,15-19yrs,surgeon,1,,,,
21-Apr,New York,15-19yrs,astronaut,1,,1,,
21-Apr,Philadelphia,15-19yrs,surgeon,1,,1,,
21-Feb,Boston,15-19yrs,epidemiologist,1,,,,
21-Feb,Chicago,15-19yrs,astronaut,1,,,,
21-Feb,Chicago,15-19yrs,farmer,1,,,,
21-Feb,Philadelphia,15-19yrs,farmer,1,,1,,
20-Dec,Philadelphia,15-19yrs,astronaut,1,,1,,
20-Dec,Tokyo,15-19yrs,surgeon,1,,,,
20-Nov,Tokyo,15-19yrs,epidemiologist,1,,,,
20-Nov,Washington D.C.,15-19yrs,astronaut,1,,,,
21-Sep,Chicago,20-24yrs,astronaut,1,,,1,
21-Sep,New York,20-24yrs,farmer,1,,,,
21-Sep,Tokyo,20-24yrs,surgeon,1,,,,
21-Aug,Boston,20-24yrs,surgeon,1,,,,
21-Aug,Boston,20-24yrs,farmer,1,,,,
21-Aug,New York,20-24yrs,epidemiologist,1,,,,
21-Aug,Philadelphia,20-24yrs,astronaut,1,,2,,
21-Aug,Tokyo,20-24yrs,epidemiologist,1,,,,
21-Jul,Philadelphia,20-24yrs,epidemiologist,1,,,,
21-May,New York,20-24yrs,surgeon,1,,,,
21-Apr,Boston,20-24yrs,epidemiologist,1,,,,
21-Feb,Tokyo,20-24yrs,farmer,1,,,1,
21-Jan,Chicago,20-24yrs,farmer,1,,,,
20-Dec,Tokyo,20-24yrs,epidemiologist,1,,1,,
20-Oct,Chicago,20-24yrs,farmer,1,,,,
21-Sep,Chicago,25-29yrs,epidemiologist,1,,,,
21-Sep,Tokyo,25-29yrs,surgeon,1,,,,
21-Aug,Boston,25-29yrs,farmer,1,,,,
21-Aug,New York,25-29yrs,astronaut,1,,1,,
21-Aug,Philadelphia,25-29yrs,farmer,1,,3,,
21-Jul,Philadelphia,25-29yrs,epidemiologist,1,,1,,
21-Jun,Boston,25-29yrs,epidemiologist,1,,,,
21-Apr,Baltimore,25-29yrs,astronaut,1,,1,1,
21-Mar,Chicago,25-29yrs,farmer,1,,,,
21-Mar,Tokyo,25-29yrs,farmer,1,,,,
21-Jan,Chicago,25-29yrs,farmer,1,,,,
20-Dec,Chicago,25-29yrs,farmer,1,,,,
20-Dec,London,25-29yrs,surgeon,1,,1,,
20-Nov,Chicago,25-29yrs,epidemiologist,1,,4,1,
21-Sep,New York,30-34yrs,astronaut,1,,,,
21-Sep,Tokyo,30-34yrs,surgeon,1,,,,
21-Aug,Philadelphia,30-34yrs,farmer,1,,4,,
21-Aug,Tokyo,30-34yrs,epidemiologist,1,,,,
21-Jul,Chicago,30-34yrs,surgeon,1,,1,,
21-Jul,Chicago,30-34yrs,epidemiologist,1,,,,
21-Jun,Boston,30-34yrs,epidemiologist,1,,,,
21-Apr,New York,30-34yrs,surgeon,1,,,,
21-Mar,Philadelphia,30-34yrs,surgeon,1,,2,2,
20-Dec,Chicago,30-34yrs,farmer,1,,,,
20-Nov,Chicago,30-34yrs,epidemiologist,1,,,,
21-Sep,Boston,35-39yrs,astronaut,1,,,,
21-Sep,New York,35-39yrs,surgeon,1,,1,,
21-Aug,New York,35-39yrs,epidemiologist,1,,1,,
21-Jul,Baltimore,35-39yrs,astronaut,1,,,,
21-Jul,Philadelphia,35-39yrs,surgeon,1,,1,,
21-Jul,Philadelphia,35-39yrs,epidemiologist,1,,1,,
